1,3,male,22,1,0,A/5 21171,7.25,?,S,0
2,1,female,38,1,0,PC 17599,71.2833,C85,C,1
3,3,female,26,0,0,STON/O2. 3101282,7.925,?,S,1
4,1,female,35,1,0,113803,53.1,C123,S,1
5,3,male,35,0,0,373450,8.05,?,S,0
6,3,male,?,0,0,330877,8.4583,?,Q,0
7,1,male,54,0,0,17463,51.8625,E46,S,0
8,3,male,2,3,1,349909,21.075,?,S,0
9,3,female,27,0,2,347742,11.1333,?,S,1
10,2,female,14,1,0,237736,30.0708,?,C,1
11,3,female,4,1,1,PP 9549,16.7,G6,S,1
12,1,female,58,0,0,113783,26.55,C103,S,1
13,3,male,20,0,0,A/5. 2151,8.05,?,S,0
14,3,male,39,1,5,347082,31.275,?,S,0
15,3,female,14,0,0,350406,7.8542,?,S,0
16,2,female,55,0,0,248706,16,?,S,1
17,3,male,2,4,1,382652,29.125,?,Q,0
18,2,male,?,0,0,244373,13,?,S,1
19,3,female,31,1,0,345763,18,?,S,0
20,3,female,?,0,0,2649,7.225,?,C,1
21,2,male,35,0,0,239865,26,?,S,0
22,2,male,34,0,0,248698,13,D56,S,1
23,3,female,15,0,0,330923,8.0292,?,Q,1
24,1,male,28,0,0,113788,35.5,A6,S,1
25,3,female,8,3,1,349909,21.075,?,S,0
26,3,female,38,1,5,347077,31.3875,?,S,1
27,3,male,?,0,0,2631,7.225,?,C,0
28,1,male,19,3,2,19950,263,C23 C25 C27,S,0
29,3,female,?,0,0,330959,7.8792,?,Q,1
30,3,male,?,0,0,349216,7.8958,?,S,0
31,1,male,40,0,0,PC 17601,27.7208,?,C,0
32,1,female,?,1,0,PC 17569,146.5208,B78,C,1
33,3,female,?,0,0,335677,7.75,?,Q,1
34,2,male,66,0,0,C.A. 24579,10.5,?,S,0
35,1,male,28,1,0,PC 17604,82.1708,?,C,0
36,1,male,42,1,0,113789,52,?,S,0
37,3,male,?,0,0,2677,7.2292,?,C,1
38,3,male,21,0,0,A./5. 2152,8.05,?,S,0
39,3,female,18,2,0,345764,18,?,S,0
40,3,female,14,1,0,2651,11.2417,?,C,1
41,3,female,40,1,0,7546,9.475,?,S,0
42,2,female,27,1,0,11668,21,?,S,0
43,3,male,?,0,0,349253,7.8958,?,C,0
44,2,female,3,1,2,SC/Paris 2123,41.5792,?,C,1
45,3,female,19,0,0,330958,7.8792,?,Q,1
46,3,male,?,0,0,S.C./A.4. 23567,8.05,?,S,0
47,3,male,?,1,0,370371,15.5,?,Q,0
48,3,female,?,0,0,14311,7.75,?,Q,1
49,3,male,?,2,0,2662,21.6792,?,C,0
50,3,female,18,1,0,349237,17.8,?,S,0
51,3,male,7,4,1,3101295,39.6875,?,S,0
52,3,male,21,0,0,A/4. 39886,7.8,?,S,0
53,1,female,49,1,0,PC 17572,76.7292,D33,C,1
54,2,female,29,1,0,2926,26,?,S,1
55,1,male,65,0,1,113509,61.9792,B30,C,0
56,1,male,?,0,0,19947,35.5,C52,S,1
57,2,female,21,0,0,C.A. 31026,10.5,?,S,1
58,3,male,28.5,0,0,2697,7.2292,?,C,0
59,2,female,5,1,2,C.A. 34651,27.75,?,S,1
60,3,male,11,5,2,CA 2144,46.9,?,S,0
61,3,male,22,0,0,2669,7.2292,?,C,0
62,1,female,38,0,0,113572,80,B28,?,1
63,1,male,45,1,0,36973,83.475,C83,S,0
64,3,male,4,3,2,347088,27.9,?,S,0
65,1,male,?,0,0,PC 17605,27.7208,?,C,0
66,3,male,?,1,1,2661,15.2458,?,C,1
67,2,female,29,0,0,C.A. 29395,10.5,F33,S,1
68,3,male,19,0,0,S.P. 3464,8.1583,?,S,0
69,3,female,17,4,2,3101281,7.925,?,S,1
70,3,male,26,2,0,315151,8.6625,?,S,0
71,2,male,32,0,0,C.A. 33111,10.5,?,S,0
72,3,female,16,5,2,CA 2144,46.9,?,S,0
73,2,male,21,0,0,S.O.C. 14879,73.5,?,S,0
74,3,male,26,1,0,2680,14.4542,?,C,0
75,3,male,32,0,0,1601,56.4958,?,S,1
76,3,male,25,0,0,348123,7.65,F G73,S,0
77,3,male,?,0,0,349208,7.8958,?,S,0
78,3,male,?,0,0,374746,8.05,?,S,0
79,2,male,0.83,0,2,248738,29,?,S,1
80,3,female,30,0,0,364516,12.475,?,S,1
81,3,male,22,0,0,345767,9,?,S,0
82,3,male,29,0,0,345779,9.5,?,S,1
83,3,female,?,0,0,330932,7.7875,?,Q,1
84,1,male,28,0,0,113059,47.1,?,S,0
85,2,female,17,0,0,SO/C 14885,10.5,?,S,1
86,3,female,33,3,0,3101278,15.85,?,S,1
87,3,male,16,1,3,W./C. 6608,34.375,?,S,0
88,3,male,?,0,0,SOTON/OQ 392086,8.05,?,S,0
89,1,female,23,3,2,19950,263,C23 C25 C27,S,1
90,3,male,24,0,0,343275,8.05,?,S,0
